Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°C);Weather type;Notes
2020-11-09 01:26:08;2020-11-09 09:45:43;84%;91%;;54;1278;Normal;102.1;;50.3;29974.8;25378.7;1598.7;2020-11-09 09:30:00;2020-11-09 10:00:00;true;442.2;0.0;No weather;
2020-11-09 23:53:17;2020-11-10 08:30:30;86%;85%;;53;3605;Normal;102.2;;51.5;31033.3;27102.4;3103.3;2020-11-10 08:30:00;2020-11-10 08:30:00;true;238.5;0.0;No weather;
2020-11-10 23:40:31;2020-11-11 08:42:02;89%;88%;;57;1740;Normal;102.5;;52.2;32491.6;24585.3;1949.5;2020-11-11 08:30:00;2020-11-11 08:30:00;true;271.2;0.0;No weather;
2020-11-12 00:35:55;2020-11-12 09:51:16;88%;85%;;58;3472;No alarm;101.5;;53.1;33320.6;26434.4;2110.3;;;true;3537.4;0.0;No weather;
2020-11-13 01:01:28;2020-11-13 10:00:53;82%;91%;;60;1684;Normal;101.6;;58.8;32365.0;27510.3;647.3;2020-11-13 10:00:00;2020-11-13 10:00:00;true;1928.8;0.0;No weather;
2020-11-14 01:54:20;2020-11-14 10:50:49;98%;88%;;58;10763;No alarm;101.4;;42.6;32188.1;28110.9;1716.7;;;true;2273.4;0.0;No weather;
2020-11-15 02:53:17;2020-11-15 11:39:14;87%;89%;;61;2793;No alarm;100.5;;51.5;31557.5;27349.9;2524.6;;;true;1002.7;0.0;No weather;
2020-11-16 02:26:05;2020-11-16 11:00:39;93%;87%;;58;1400;Normal;100.0;;43.1;30873.8;25934.0;2984.5;2020-11-16 11:00:00;2020-11-16 11:00:00;true;2248.5;0.0;No weather;
2020-11-17 23:44:28;2020-11-18 09:01:00;88%;76%;;58;4252;Normal;102.2;;53.3;33392.1;26157.1;667.8;2020-11-18 09:00:00;2020-11-18 09:00:00;true;374.3;0.0;No weather;
2020-11-19 00:46:52;2020-11-19 09:08:32;75%;76%;;56;1931;Normal;101.2;;60.2;30100.8;26890.0;1806.0;2020-11-19 09:00:00;2020-11-19 09:30:00;true;203.0;0.0;No weather;
2020-11-20 00:04:51;2020-11-20 08:51:34;80%;91%;;58;5101;Normal;103.0;;59.7;31603.7;25072.2;4319.2;2020-11-20 08:30:00;2020-11-20 09:00:00;true;2074.0;0.0;No weather;
2020-11-21 02:40:16;2020-11-21 10:36:50;70%;82%;;57;4973;No alarm;102.7;;62.7;28594.7;21731.9;1429.7;;;true;1380.0;0.0;No weather;
2020-11-22 01:51:38;2020-11-22 11:32:18;83%;80%;;59;4221;No alarm;102.1;;58.7;34840.1;28452.8;2671.1;;;true;951.1;0.0;No weather;
2020-11-24 00:40:07;2020-11-24 08:43:20;80%;76%;;56;1901;Normal;102.3;;52.4;28992.7;24643.8;1546.3;2020-11-24 09:30:00;2020-11-24 09:30:00;true;190.2;0.0;No weather;
2020-11-25 01:01:54;2020-11-25 09:31:04;76%;78%;;61;2711;Normal;101.4;;60.9;30550.2;25356.7;1731.2;2020-11-25 09:30:00;2020-11-25 09:30:00;true;1014.8;0.0;No weather;
2020-11-25 23:54:31;2020-11-26 09:35:33;79%;90%;;60;3892;Normal;101.6;;63.0;34861.2;27772.7;3718.5;2020-11-26 09:30:00;2020-11-26 09:30:00;true;799.9;0.0;No weather;
2020-11-27 00:47:01;2020-11-27 10:36:03;62%;88%;;58;2123;Normal;101.9;;84.8;35341.8;30040.6;5301.3;2020-11-27 10:30:00;2020-11-27 10:30:00;true;2660.9;0.0;No weather;
2020-11-28 03:47:10;2020-11-28 12:37:09;59%;77%;;57;1614;Normal;101.8;;90.0;31798.9;25651.1;636.0;2020-11-28 12:30:00;2020-11-28 12:30:00;true;664.3;0.0;No weather;
2020-11-29 02:13:47;2020-11-29 11:21:52;79%;73%;;58;10268;No alarm;102.4;;66.4;32885.2;27623.6;657.7;;;true;2497.3;0.0;No weather;
2020-11-30 00:40:43;2020-11-30 09:30:44;73%;69%;;55;1820;Normal;102.6;;72.5;31800.1;29256.1;636.0;2020-11-30 09:30:00;2020-11-30 09:30:00;true;1200.0;0.0;No weather;
2020-12-01 00:59:49;2020-12-01 10:00:59;71%;80%;;0;2798;Normal;101.0;;77.4;32470.2;26733.8;4545.8;2020-12-01 10:00:00;2020-12-01 10:00:00;true;1081.7;0.0;No weather;
2020-12-02 00:49:23;2020-12-02 09:31:00;67%;86%;;61;6412;Normal;102.0;;82.0;31297.1;25142.0;3129.7;2020-12-02 09:30:00;2020-12-02 09:30:00;true;184.9;0.0;No weather;
2020-12-03 01:47:18;2020-12-03 09:25:38;79%;93%;;0;2620;Normal;100.4;;51.0;27500.1;24475.1;1375.0;2020-12-03 10:30:00;2020-12-03 10:30:00;true;4235.6;0.0;No weather;
2020-12-04 00:28:12;2020-12-04 09:01:16;66%;90%;;56;1120;Normal;98.1;;82.9;30784.7;26372.2;3591.5;2020-12-04 09:00:00;2020-12-04 09:00:00;true;806.1;0.0;No weather;
2020-12-05 02:28:57;2020-12-05 11:20:00;87%;80%;;58;6327;No alarm;99.1;;58.0;31862.9;26340.0;849.7;;;true;436.7;0.0;No weather;
2020-12-06 04:30:52;2020-12-06 11:44:23;84%;76%;;68;8062;No alarm;100.0;;37.1;26011.3;23843.7;520.2;;;true;1623.8;0.0;No weather;
2020-12-07 00:57:23;2020-12-07 10:28:03;88%;68%;;61;798;Normal;99.7;;57.5;34240.0;30131.2;1826.1;2020-12-07 10:30:00;2020-12-07 10:30:00;true;2432.6;0.0;No weather;
2020-12-07 23:57:06;2020-12-08 10:31:29;57%;77%;;70;2029;Normal;99.9;;104.8;38062.9;35144.7;761.3;2020-12-08 10:30:00;2020-12-08 10:30:00;true;3505.3;0.0;No weather;
2020-12-09 00:15:55;2020-12-09 08:40:07;84%;78%;;66;3311;Normal;100.6;;56.1;30252.5;23597.0;2016.8;2020-12-09 09:00:00;2020-12-09 09:00:00;true;833.8;0.0;No weather;
2020-12-09 23:53:08;2020-12-10 09:43:12;78%;87%;;0;7271;No alarm;100.6;;72.7;35403.8;29385.2;3776.4;;;true;441.2;0.0;No weather;
2020-12-11 00:52:36;2020-12-11 10:06:45;84%;86%;;62;3534;No alarm;99.9;;65.7;33249.3;27596.9;665.0;;;true;2178.2;0.0;No weather;
2020-12-12 01:57:17;2020-12-12 10:28:11;81%;88%;;61;1556;No alarm;98.9;;63.6;30653.6;26464.3;1124.0;;;true;632.0;0.0;No weather;
2020-12-13 02:33:31;2020-12-13 11:03:39;86%;89%;;62;1347;Normal;100.4;;55.4;30608.0;28465.4;612.2;2020-12-13 11:00:00;2020-12-13 11:00:00;true;557.8;0.0;No weather;
2020-12-14 01:24:00;2020-12-14 10:01:12;78%;87%;;51;8621;Normal;100.2;;68.9;31031.9;26480.5;2172.2;2020-12-14 10:00:00;2020-12-14 10:00:00;true;1221.3;0.0;No weather;
2020-12-15 02:01:50;2020-12-15 09:59:12;81%;89%;;53;1939;Normal;100.3;;55.3;28641.6;25300.1;572.8;2020-12-15 10:00:00;2020-12-15 10:00:00;true;416.1;0.0;No weather;
2020-12-16 01:49:26;2020-12-16 09:16:00;80%;89%;;55;1107;Normal;101.3;;48.2;26793.7;22328.1;1607.6;2020-12-16 09:15:00;2020-12-16 09:15:00;true;1166.2;0.0;No weather;
2020-12-17 00:37:53;2020-12-17 09:30:25;87%;92%;;55;1439;Normal;101.0;;60.0;31952.4;26627.0;1917.1;2020-12-17 09:30:00;2020-12-17 09:30:00;true;566.3;0.0;No weather;
2020-12-18 02:03:54;2020-12-18 09:30:10;79%;89%;;53;1674;Normal;101.8;;49.2;26775.5;20706.4;2856.1;2020-12-18 09:30:00;2020-12-18 09:30:00;true;840.0;0.0;No weather;
2020-12-19 02:46:56;2020-12-19 11:39:38;77%;84%;;113;4444;No alarm;101.1;;72.6;31962.1;28552.8;639.2;;;true;322.5;0.0;No weather;
2020-12-20 01:29:28;2020-12-20 10:30:46;89%;81%;;61;6378;Normal;101.1;;59.3;32477.7;26307.0;649.6;2020-12-20 10:30:00;2020-12-20 10:30:00;true;1476.0;0.0;No weather;
2020-12-22 02:04:34;2020-12-22 10:30:41;80%;30%;;56;4140;Normal;100.2;;63.1;30366.3;25001.6;607.3;2020-12-22 10:30:00;2020-12-22 10:30:00;true;1260.0;0.0;No weather;
2020-12-23 00:56:31;2020-12-23 09:45:14;86%;32%;;54;1019;Normal;101.2;;60.8;31722.8;26964.4;3912.5;2020-12-23 09:45:00;2020-12-23 09:45:00;true;1380.0;0.0;No weather;
2020-12-24 01:31:29;2020-12-24 10:30:20;100%;59%;;55;1018;Normal;100.3;;43.7;32331.7;28667.4;2263.2;2020-12-24 10:30:00;2020-12-24 10:30:00;true;67.0;0.0;No weather;
2020-12-25 03:00:00;2020-12-25 10:46:30;67%;86%;;0;1142;No alarm;102.1;;73.9;27989.8;21645.5;1586.1;;;true;81.8;0.0;No weather;
2020-12-26 02:42:37;2020-12-26 10:25:28;85%;90%;;54;2284;No alarm;102.2;;45.2;27771.5;22402.4;555.4;;;true;329.1;0.0;No weather;
2020-12-28 03:30:56;2020-12-28 11:15:32;83%;91%;;58;7122;No alarm;97.4;;49.3;27875.9;21650.3;1393.8;;;true;165.9;0.0;No weather;
2020-12-29 01:48:45;2020-12-29 10:00:46;92%;81%;;64;4700;Normal;97.8;;43.9;29521.6;23617.3;2853.8;2020-12-29 10:30:00;2020-12-29 10:30:00;true;1020.0;0.0;No weather;
2020-12-30 02:34:30;2020-12-30 10:20:27;73%;83%;;87;719;Normal;99.4;;63.8;27956.8;26093.0;1863.8;2020-12-30 10:30:00;2020-12-30 10:30:00;true;600.0;0.0;No weather;
2020-12-31 03:59:28;2020-12-31 11:36:39;86%;81%;;0;549;Normal;100.0;;42.4;27431.1;23773.6;2377.4;2020-12-31 12:55:00;2020-12-31 12:55:00;true;316.8;0.0;No weather;
2021-01-01 05:01:16;2021-01-01 13:02:01;83%;83%;;54;2138;No alarm;100.4;;53.8;28844.8;23364.3;1442.2;;;true;301.0;0.0;No weather;
2021-01-02 01:29:47;2021-01-02 09:30:35;80%;66%;;0;535;Normal;100.9;;57.1;28847.8;23943.7;2404.0;2021-01-02 09:30:00;2021-01-02 09:30:00;true;1020.0;0.0;No weather;
2021-01-03 03:00:51;2021-01-03 11:13:50;83%;65%;;51;2454;Normal;101.4;;56.5;29578.9;24846.3;887.4;2021-01-03 11:30:00;2021-01-03 11:30:00;true;124.9;0.0;No weather;
2021-01-04 01:28:32;2021-01-04 10:01:27;89%;64%;;54;6245;Normal;101.7;;52.8;30774.4;26568.5;1743.9;2021-01-04 10:00:00;2021-01-04 10:00:00;true;706.5;0.0;No weather;
2021-01-05 01:28:34;2021-01-05 10:00:45;84%;83%;;57;1002;Normal;101.7;;59.8;30731.4;22638.8;3278.0;2021-01-05 10:00:00;2021-01-05 10:00:00;true;78.1;0.0;No weather;
2021-01-06 02:16:14;2021-01-06 10:01:15;70%;90%;;56;1528;Normal;101.8;;68.8;27901.1;25111.0;558.0;2021-01-06 10:00:00;2021-01-06 10:00:00;true;435.0;0.0;No weather;
2021-01-07 03:40:36;2021-01-07 09:18:16;63%;92%;;55;348;Normal;101.2;;44.7;20260.4;15397.9;2161.1;2021-01-07 10:30:00;2021-01-07 10:30:00;true;120.0;0.0;No weather;
2021-01-08 02:11:03;2021-01-08 10:30:27;93%;84%;;54;1268;Normal;101.0;;44.9;29964.1;23971.3;1698.0;2021-01-08 10:30:00;2021-01-08 10:30:00;true;540.0;0.0;No weather;
2021-01-09 04:09:52;2021-01-09 11:48:45;80%;77%;;61;3177;No alarm;102.1;;52.9;27533.1;21292.3;550.7;;;true;122.2;0.0;No weather;
2021-01-10 03:28:35;2021-01-10 11:45:07;89%;81%;;0;1851;No alarm;102.3;;48.4;29792.0;25323.2;794.5;;;true;580.3;0.0;No weather;
2021-01-11 03:09:33;2021-01-11 10:00:45;69%;83%;;57;6181;Normal;101.8;;55.7;24671.3;17681.1;4111.9;2021-01-11 10:00:00;2021-01-11 10:00:00;true;240.0;0.0;No weather;
2021-01-12 02:37:14;2021-01-12 09:31:06;74%;89%;;53;1353;Normal;100.3;;49.9;24831.9;21603.8;496.6;2021-01-12 09:30:00;2021-01-12 09:30:00;true;180.0;0.0;No weather;
2021-01-13 02:44:11;2021-01-13 10:30:40;80%;88%;;56;1983;Normal;101.4;;54.1;27988.2;22017.4;2705.5;2021-01-13 10:30:00;2021-01-13 10:30:00;true;304.0;0.0;No weather;
2021-01-14 02:22:10;2021-01-14 10:30:52;87%;93%;;55;1281;Normal;101.6;;49.2;29321.5;25314.2;2345.7;2021-01-14 10:30:00;2021-01-14 10:30:00;true;840.0;0.0;No weather;
2021-01-15 02:18:35;2021-01-15 10:00:57;82%;94%;;53;3409;Normal;102.4;;49.7;27741.7;23857.9;1017.2;2021-01-15 10:00:00;2021-01-15 10:00:00;true;0.0;0.0;No weather;
2021-01-16 04:30:58;2021-01-16 13:00:43;87%;83%;;57;485;No alarm;102.6;;53.9;30585.2;28342.3;611.7;;;true;60.0;0.0;No weather;
2021-01-17 03:40:21;2021-01-17 11:00:34;82%;76%;;56;834;Normal;101.2;;44.0;26412.4;24211.3;704.3;2021-01-17 11:00:00;2021-01-17 11:00:00;true;600.0;0.0;No weather;
2021-01-18 01:56:01;2021-01-18 10:01:01;78%;70%;;51;6366;Normal;102.0;;61.0;29100.4;20564.3;1552.0;2021-01-18 10:00:00;2021-01-18 10:00:00;true;240.0;0.0;No weather;
2021-01-19 02:14:29;2021-01-19 10:00:56;80%;84%;;0;285;Normal;101.0;;53.4;27987.1;25188.3;559.7;2021-01-19 10:00:00;2021-01-19 10:00:00;true;360.0;0.0;No weather;
2021-01-19 10:01:03;2021-01-19 10:31:03;6%;45%;;0;31;Normal;99.9;;0.0;1800.0;1764.0;36.0;2021-01-19 10:30:00;2021-01-19 10:30:00;true;0.0;0.0;No weather;
2021-01-20 02:33:58;2021-01-20 10:01:02;72%;91%;;55;361;Normal;99.7;;60.7;26823.7;21727.2;1341.2;2021-01-20 10:00:00;2021-01-20 10:00:00;true;180.0;0.0;No weather;
2021-01-21 03:33:09;2021-01-21 10:00:26;59%;95%;;56;362;Normal;97.8;;66.0;23236.5;16730.3;4957.1;2021-01-21 10:00:00;2021-01-21 10:00:00;true;480.0;0.0;No weather;
2021-01-22 03:28:49;2021-01-22 09:53:51;75%;96%;;55;1454;Normal;98.3;;39.5;23101.9;18250.5;462.0;2021-01-22 10:30:00;2021-01-22 10:30:00;true;780.0;0.0;No weather;
2021-01-24 05:37:49;2021-01-24 13:26:11;77%;76%;;0;1638;No alarm;99.4;;58.0;28101.6;24542.0;1779.8;;;true;180.0;0.0;No weather;
2021-01-25 03:43:34;2021-01-25 10:06:41;68%;55%;;55;486;Normal;99.8;;49.8;22986.3;18618.9;2222.0;2021-01-25 10:00:00;2021-01-25 10:00:00;true;240.0;0.0;No weather;
2021-01-26 02:53:55;2021-01-26 10:31:14;71%;73%;;53;1816;Normal;100.8;;64.7;27439.1;23140.3;548.8;2021-01-26 10:30:00;2021-01-26 10:30:00;true;2681.6;0.0;No weather;
2021-01-27 02:40:47;2021-01-27 10:06:29;72%;80%;;59;549;Normal;101.1;;60.5;26741.9;21126.1;3209.0;2021-01-27 10:00:00;2021-01-27 10:00:00;true;300.0;0.0;No weather;
2021-01-28 03:33:30;2021-01-28 10:36:04;72%;91%;;0;747;Normal;100.6;;55.3;25353.4;21212.4;1352.2;2021-01-28 10:30:00;2021-01-28 10:30:00;true;1172.1;0.0;No weather;
